label,plan,nprobe,num_threads,qps,avg_tm_ms,reported_recall,recall_at_k,inverse_ratio_at_k,inverse_ratio_min,inverse_ratio_p01,inverse_ratio_p05,inverse_ratio_median,inverse_ratio_p95,inverse_ratio_max,result_ids_path,result_ids_bytes,result_ids_sha256,qps_path,qps_bytes,qps_sha256
candidate_np50,candidate,50,24,74072.87,0.3240443,0.92381,0.9238099999999999,0.9985400241296905,0.9836118296124934,0.9906875749400991,0.9945408955517853,0.9994269653078892,0.9999036080750481,1.0,/tmp/saq-ratio-a3/deep1M_sample100k/b4/candidate_np50.ivecs,404000,b7335abc019ee6171a09188c64ca7e688c18714e69953bb0d99bff8850e7f6b8,/tmp/saq-ratio-a3/deep1M_sample100k/b4/candidate_np50_qps.csv,120,5ed8359cde3098c599fd4ded25b08cc629241eb3dd29c2fc2e1786dec56e8adb
candidate_np100,candidate,100,24,49453.168,0.4853432,0.94401,0.94401,0.9994165241523899,0.9928798585970401,0.9965232321376286,0.9980541383800929,0.9996222039209413,0.9999115342909066,1.0,/tmp/saq-ratio-a3/deep1M_sample100k/b4/candidate_np100.ivecs,404000,b90e16147efff531688fc1630a578061bd85cfadaa9e4c9bf977acc1dc3ee0d6,/tmp/saq-ratio-a3/deep1M_sample100k/b4/candidate_np100_qps.csv,125,7b9c676446f52de4c420159b3fac0a9faf41ba6eda3394be96ab6dfca786d565
candidate_np200,candidate,200,24,31299.846,0.7668355,0.94884,0.9488399999999999,0.9996339359429455,0.9976463677689279,0.9988666328890092,0.99923986726421,0.999675085290521,0.9999154997736172,1.0,/tmp/saq-ratio-a3/deep1M_sample100k/b4/candidate_np200.ivecs,404000,969f2bc301cfd1453d9ddf9814e6367c15bc504f00908cb8e10df04288815a10,/tmp/saq-ratio-a3/deep1M_sample100k/b4/candidate_np200_qps.csv,134,ea923794c2b4bc3823a2eae0deb1da409cffd1434972f0d971ca042a8e190d44
candidate_np400,candidate,400,24,18664.264,1.2859808,0.9494,0.9493999999999999,0.9996588559210929,0.9989661440784997,0.9991864342668482,0.9993227381268571,0.9996779290462283,0.9999154997736172,1.0,/tmp/saq-ratio-a3/deep1M_sample100k/b4/candidate_np400.ivecs,404000,e97b267c151072935ed2f865658a4accac4354f386cca3eed6f690d2cf31bf88,/tmp/saq-ratio-a3/deep1M_sample100k/b4/candidate_np400_qps.csv,132,c52a240572e21e9fd760746602f42b3becd74e5211c3bb86978dc69fc8d83a2f
default_np50,default,50,24,68920.516,0.3483445,0.9455,0.9455,0.9988030565712919,0.9837755769821448,0.9911604790140508,0.9947815879536503,0.999728465986466,0.9999950343189103,1.0,/tmp/saq-ratio-a3/deep1M_sample100k/b4/default_np50.ivecs,404000,c34d9f78f4ef5c2ff15fb5c64c71f337aa91381b21044580b2509794063a7cd1,/tmp/saq-ratio-a3/deep1M_sample100k/b4/default_np50_qps.csv,122,f882ecb16a370dc9820cf0727c3db85d7066e4c4899b128a014d54ab88b71c0c
default_np100,default,100,24,45165.664,0.5313999,0.97061,0.9706100000000001,0.9996860702117021,0.9932295392808561,0.9968854675530048,0.9983809886508156,0.9999187201193976,0.9999992519915667,1.0,/tmp/saq-ratio-a3/deep1M_sample100k/b4/default_np100.ivecs,404000,fc499e20644ced768d301542ead2b4a6ec56afb46870760e138c17a35268758b,/tmp/saq-ratio-a3/deep1M_sample100k/b4/default_np100_qps.csv,125,945e21f32fa674f28818c1ff6af36ba4b2fa744e6b9dba446555b91f9650010f
default_np200,default,200,24,29235.9,0.8209635,0.97641,0.9764100000000002,0.9999041229169754,0.9983408033228861,0.9991792420133537,0.9996778668649138,0.999940992334,1.0,1.0,/tmp/saq-ratio-a3/deep1M_sample100k/b4/default_np200.ivecs,404000,b371787601038912165596bd05e5d83506944306f32ce1c7206ebb99e714fa8b,/tmp/saq-ratio-a3/deep1M_sample100k/b4/default_np200_qps.csv,130,a494b86bbb660874d876cb556e08eee057dbaf3a46d6ce081617ae10400704b4
default_np400,default,400,24,17841.232,1.3454643,0.97713,0.97713,0.9999303219872174,0.9993828669966571,0.9996495065525794,0.999824775144036,0.9999447954308551,1.0,1.0,/tmp/saq-ratio-a3/deep1M_sample100k/b4/default_np400.ivecs,404000,7ad8cbba10636b4d4bb501200e63efb76e46757fa2141b71cedd13b00b6c4c48,/tmp/saq-ratio-a3/deep1M_sample100k/b4/default_np400_qps.csv,133,f6e5e12ea56755ead9715531301346540e368723232c16f693ac64040b94ae3b
