transform,plan_control,rotation_group,stage,stage_semantics,query_count,rotation_config_count,rotation_seeds,seeds_complete,mean_per_query_candidate_rmse,pooled_candidate_rmse,pooled_candidate_count,mean_query_candidate_count,finite_query_count_candidate_count,mean_query_finite_count,finite_query_count_finite_count,mean_query_nonfinite_count,finite_query_count_nonfinite_count,mean_query_bias,finite_query_count_bias,mean_query_mae,finite_query_count_mae,mean_query_rmse,finite_query_count_rmse,mean_query_abs_relative_eps1e-12_p50,finite_query_count_abs_relative_eps1e-12_p50,mean_query_abs_relative_eps1e-12_p90,finite_query_count_abs_relative_eps1e-12_p90,mean_query_abs_relative_eps1e-12_p99,finite_query_count_abs_relative_eps1e-12_p99,mean_query_topk_used,finite_query_count_topk_used,mean_query_fixed_candidate_topk_agreement,finite_query_count_fixed_candidate_topk_agreement,mean_query_exact_best_estimated_rank,finite_query_count_exact_best_estimated_rank,mean_query_strict_boundary_inversion_rate,finite_query_count_strict_boundary_inversion_rate,mean_query_logical_factor_bytes_per_candidate,finite_query_count_logical_factor_bytes_per_candidate,mean_query_logical_fast_code_bytes_per_candidate,finite_query_count_logical_fast_code_bytes_per_candidate,mean_query_logical_long_code_bytes_per_candidate,finite_query_count_logical_long_code_bytes_per_candidate,mean_query_logical_long_factor_bytes_per_candidate,finite_query_count_logical_long_factor_bytes_per_candidate,mean_query_logical_total_requested_bytes_per_candidate,finite_query_count_logical_total_requested_bytes_per_candidate
current_pca,uniform,seed_average,full,progressive_distance_estimate,128,10,0|1|2|3|4|5|6|7|8|9,true,0.00829355329804,0.00837814488772,442823,3459.5546875,128,3459.5546875,128,0,128,1.46183353134e-05,128,0.00648842533969,128,0.00829355329804,128,0.00228407737981,128,0.00570528662855,128,0.00928068703448,128,100,128,0.9767734375,128,1.06015625,128,5.66943020795e-05,128,4,128,120,128,360,128,8,128,492,128
current_pca,uniform,off,vars_conservative_lower_bound_all,conservative_lower_bound_not_ordinary_distance_estimator,128,1,off,true,2.20363868302,2.22850738419,442823,3459.5546875,128,3459.5546875,128,0,128,-2.16605804199,128,2.166058715,128,2.20363868302,128,0.928208719556,128,0.961185161369,128,0.978323171869,128,100,128,0.078125,128,1159.2265625,128,0.0480350630758,128,4,128,0,128,0,128,0,128,4,128
current_pca,uniform,off,fast_all,progressive_distance_estimate,128,1,off,true,0.23945511177,0.237536004948,442823,3459.5546875,128,3459.5546875,128,0,128,-0.108386460712,128,0.187654651703,128,0.23945511177,128,0.0692776001041,128,0.151500481356,128,0.24007485632,128,100,128,0.43671875,128,105,128,0.062087886395,128,4,128,120,128,0,128,0,128,124,128
current_pca,uniform,off,full,progressive_distance_estimate,128,1,off,true,0.0634132599903,0.0626253775347,442823,3459.5546875,128,3459.5546875,128,0,128,-0.00058787361403,128,0.04755523592,128,0.0634132599903,128,0.0162719887505,128,0.0449707169354,128,0.083598219065,128,100,128,0.836953125,128,2.03125,128,0.00315867303019,128,4,128,120,128,360,128,8,128,492,128
identity,native,seed_average,vars_conservative_lower_bound_all,conservative_lower_bound_not_ordinary_distance_estimator,128,10,0|1|2|3|4|5|6|7|8|9,true,0.592424937652,0.585854845016,442823,3459.5546875,128,3459.5546875,128,0,128,-0.522027134415,128,0.531693304151,128,0.592424937652,128,0.245531064678,128,0.351069987427,128,0.415558242426,128,100,128,0.25015625,128,508.578125,128,0.144625788212,128,4,128,0,128,0,128,0,128,4,128
identity,native,seed_average,fast_all,progressive_distance_estimate,128,10,0|1|2|3|4|5|6|7|8|9,true,0.122593175906,0.123726127308,442823,3459.5546875,128,3459.5546875,128,0,128,-0.107035550808,128,0.108150222018,128,0.122593175906,128,0.0446241660504,128,0.076612513437,128,0.106079850673,128,100,128,0.8423515625,128,1.78984375,128,0.00256901945497,128,4,128,120,128,0,128,0,128,124,128
identity,native,seed_average,full,progressive_distance_estimate,128,10,0|1|2|3|4|5|6|7|8|9,true,0.00838137359575,0.00846256152777,442823,3459.5546875,128,3459.5546875,128,0,128,-3.19288209987e-06,128,0.00655428702069,128,0.00838137359575,128,0.00230699838179,128,0.00577037816954,128,0.00938517200603,128,100,128,0.9765859375,128,1.0671875,128,5.83871243503e-05,128,4,128,120,128,360,128,8,128,492,128
identity,native,off,vars_conservative_lower_bound_all,conservative_lower_bound_not_ordinary_distance_estimator,128,1,off,true,0.592424943522,0.585854850795,442823,3459.5546875,128,3459.5546875,128,0,128,-0.522027141303,128,0.531693310209,128,0.592424943522,128,0.245531072878,128,0.351069989297,128,0.415558240683,128,100,128,0.25015625,128,508.578125,128,0.144625757377,128,4,128,0,128,0,128,0,128,4,128
identity,native,off,fast_all,progressive_distance_estimate,128,1,off,true,0.184787203956,0.183891627626,442823,3459.5546875,128,3459.5546875,128,0,128,-0.111062179916,128,0.144102515197,128,0.184787203956,128,0.0544153717468,128,0.121510844181,128,0.185285368702,128,100,128,0.67046875,128,4.8125,128,0.0135511909895,128,4,128,120,128,0,128,0,128,124,128
identity,native,off,full,progressive_distance_estimate,128,1,off,true,0.0135507644989,0.01352823774,442823,3459.5546875,128,3459.5546875,128,0,128,-0.000484118717568,128,0.010126635597,128,0.0135507644989,128,0.003422065908,128,0.00903304301266,128,0.0164345871385,128,100,128,0.9653125,128,1.0625,128,0.000135743757002,128,4,128,120,128,360,128,8,128,492,128
