transform,plan_control,rotation_group,rotation_config_count,rotation_seeds,seeds_complete,seed_scope,structural_metadata_status,mean_N,mean_D,mean_K,mean_queries,mean_fixed_probes_per_query,mean_topk_requested,mean_nominal_B,mean_vars_bound_m,mean_segments,plan,mean_nominal_code_bits_per_vector,mean_transform_planner_proxy_total,mean_pca_planner_proxy_total,mean_actual_serialized_index_bytes,min_actual_serialized_index_bytes,max_actual_serialized_index_bytes,mean_actual_serialized_index_bytes_per_vector,mean_build_time_s,mean_serialization_time_s,mean_measurement_time_s,mean_candidate_evaluations,exact_distance_scope
current_pca,frozen-pca,seed_average,10,0|1|2|3|4|5|6|7|8|9,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,60000,512,512,1000,16,100,4,4,4,0:64@9b|64:256@5b|256:384@3b|384:512@0b,1920,0.007995764608,0.007995764608,21508196,21508196,21508196,358.4699333,0.1309777987,0.0084307413,5.2453124471,2130639,canonical_raw_float64_squared_L2
current_pca,frozen-pca,off,1,off,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,60000,512,512,1000,16,100,4,4,4,0:64@9b|64:256@5b|256:384@3b|384:512@0b,1920,0.007995764608,0.007995764608,21213284,21213284,21213284,353.5547333,0.107102509,0.007321503,5.24352167,2130639,canonical_raw_float64_squared_L2
residual_pca,frozen-pca,seed_average,10,0|1|2|3|4|5|6|7|8|9,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,60000,512,512,1000,16,100,4,4,4,0:64@9b|64:256@5b|256:384@3b|384:512@0b,1920,0.008014239604,0.007995764608,21508196,21508196,21508196,358.4699333,0.1277703991,0.0091456745,5.2402124385,2130639,canonical_raw_float64_squared_L2
residual_pca,frozen-pca,off,1,off,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,60000,512,512,1000,16,100,4,4,4,0:64@9b|64:256@5b|256:384@3b|384:512@0b,1920,0.008014239604,0.007995764608,21213284,21213284,21213284,353.5547333,0.105660939,0.007385396,5.240152008,2130639,canonical_raw_float64_squared_L2
