transform,plan_control,rotation_group,stage,stage_semantics,query_count,rotation_config_count,rotation_seeds,seeds_complete,mean_per_query_candidate_rmse,pooled_candidate_rmse,pooled_candidate_count,mean_query_candidate_count,finite_query_count_candidate_count,mean_query_finite_count,finite_query_count_finite_count,mean_query_nonfinite_count,finite_query_count_nonfinite_count,mean_query_bias,finite_query_count_bias,mean_query_mae,finite_query_count_mae,mean_query_rmse,finite_query_count_rmse,mean_query_abs_relative_eps1e-12_p50,finite_query_count_abs_relative_eps1e-12_p50,mean_query_abs_relative_eps1e-12_p90,finite_query_count_abs_relative_eps1e-12_p90,mean_query_abs_relative_eps1e-12_p99,finite_query_count_abs_relative_eps1e-12_p99,mean_query_topk_used,finite_query_count_topk_used,mean_query_fixed_candidate_topk_agreement,finite_query_count_fixed_candidate_topk_agreement,mean_query_exact_best_estimated_rank,finite_query_count_exact_best_estimated_rank,mean_query_strict_boundary_inversion_rate,finite_query_count_strict_boundary_inversion_rate,mean_query_logical_factor_bytes_per_candidate,finite_query_count_logical_factor_bytes_per_candidate,mean_query_logical_fast_code_bytes_per_candidate,finite_query_count_logical_fast_code_bytes_per_candidate,mean_query_logical_long_code_bytes_per_candidate,finite_query_count_logical_long_code_bytes_per_candidate,mean_query_logical_long_factor_bytes_per_candidate,finite_query_count_logical_long_factor_bytes_per_candidate,mean_query_logical_total_requested_bytes_per_candidate,finite_query_count_logical_total_requested_bytes_per_candidate
current_pca,frozen-pca,off,fast_prefix_2,progressive_distance_estimate,1000,1,off,true,0.142092772603,0.140908287829,2130639,2130.639,1000,2130.639,1000,0,1000,-0.12940330253,1000,0.129838235934,1000,0.142092772603,1000,0.164853518007,1000,0.25282913918,1000,0.328552393999,1000,100,1000,0.58795,1000,1.002,1000,0.0348405584496,1000,16,1000,32,1000,0,1000,0,1000,48,1000
current_pca,frozen-pca,off,fast_prefix_3,progressive_distance_estimate,1000,1,off,true,0.135832431358,0.134715074817,2130639,2130.639,1000,2130.639,1000,0,1000,-0.122517492427,1000,0.123081908544,1000,0.135832431358,1000,0.155709034128,1000,0.243579873243,1000,0.319013383173,1000,100,1000,0.58883,1000,1.002,1000,0.0347495213691,1000,16,1000,48,1000,0,1000,0,1000,64,1000
current_pca,frozen-pca,off,fast_all,progressive_distance_estimate,1000,1,off,true,0.135832431358,0.134715074817,2130639,2130.639,1000,2130.639,1000,0,1000,-0.122517492427,1000,0.123081908544,1000,0.135832431358,1000,0.155709034128,1000,0.243579873243,1000,0.319013383173,1000,100,1000,0.58883,1000,1.002,1000,0.0347495213691,1000,16,1000,48,1000,0,1000,0,1000,64,1000
current_pca,frozen-pca,off,accurate_prefix_1,progressive_distance_estimate,1000,1,off,true,0.0305495496427,0.0310578322244,2130639,2130.639,1000,2130.639,1000,0,1000,-0.0275613049656,1000,0.0276973906689,1000,0.0305495496427,1000,0.0344534030954,1000,0.0568255988206,1000,0.0778983792047,1000,100,1000,0.89383,1000,1,1000,0.00206144395653,1000,16,1000,48,1000,64,1000,8,1000,136,1000
current_pca,frozen-pca,off,accurate_prefix_2,progressive_distance_estimate,1000,1,off,true,0.00609776366456,0.00627614573763,2130639,2130.639,1000,2130.639,1000,0,1000,-0.00562099651022,1000,0.00563393985266,1000,0.00609776366456,1000,0.00707104510549,1000,0.0113706020148,1000,0.0155742689539,1000,100,1000,0.97926,1000,1,1000,8.53845931072e-05,1000,16,1000,48,1000,160,1000,16,1000,240,1000
current_pca,frozen-pca,off,accurate_prefix_3,progressive_distance_estimate,1000,1,off,true,0.00233338090307,0.00237043943588,2130639,2130.639,1000,2130.639,1000,0,1000,-0.00195020639398,1000,0.00203214170042,1000,0.00233338090307,1000,0.00252734474743,1000,0.00470170184769,1000,0.00679215869338,1000,100,1000,0.98849,1000,1,1000,2.60359312858e-05,1000,16,1000,48,1000,192,1000,24,1000,280,1000
current_pca,frozen-pca,off,full,progressive_distance_estimate,1000,1,off,true,0.00127061037124,0.00129200411062,2130639,2130.639,1000,2130.639,1000,0,1000,7.50054414581e-07,1000,0.00100053449236,1000,0.00127061037124,1000,0.001052951469,1000,0.00265995895288,1000,0.00444006370938,1000,100,1000,0.98853,1000,1,1000,2.60164314212e-05,1000,16,1000,48,1000,192,1000,24,1000,280,1000
residual_pca,frozen-pca,seed_average,vars_conservative_lower_bound_all,conservative_lower_bound_not_ordinary_distance_estimator,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.626228820381,0.622349253229,2130639,2130.639,1000,2130.639,1000,0,1000,-0.615124324338,1000,0.615294427346,1000,0.626228820381,1000,0.789552451285,1000,0.838614129132,1000,0.8726914307,1000,100,1000,0.12617,1000,951.9037,1000,0.25689044008,1000,16,1000,0,1000,0,1000,0,1000,16,1000
residual_pca,frozen-pca,seed_average,fast_prefix_1,progressive_distance_estimate,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.186970264034,0.185470329869,2130639,2130.639,1000,2130.639,1000,0,1000,-0.178379252373,1000,0.178558003038,1000,0.186970264034,1000,0.229998763611,1000,0.326374623268,1000,0.415365123763,1000,100,1000,0.589673,1000,1.0259,1000,0.0332878392578,1000,16,1000,8,1000,0,1000,0,1000,24,1000
residual_pca,frozen-pca,seed_average,fast_prefix_2,progressive_distance_estimate,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.139963683219,0.138843039362,2130639,2130.639,1000,2130.639,1000,0,1000,-0.129265338042,1000,0.129443358073,1000,0.139963683219,1000,0.164828442606,1000,0.256696614463,1000,0.342699265773,1000,100,1000,0.61737,1000,1.0053,1000,0.0277266805772,1000,16,1000,32,1000,0,1000,0,1000,48,1000
residual_pca,frozen-pca,seed_average,fast_prefix_3,progressive_distance_estimate,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.133599797716,0.132547192557,2130639,2130.639,1000,2130.639,1000,0,1000,-0.12236077797,1000,0.122599120268,1000,0.133599797716,1000,0.155651319059,1000,0.246980450108,1000,0.332277721842,1000,100,1000,0.617683,1000,1.0043,1000,0.0276501690238,1000,16,1000,48,1000,0,1000,0,1000,64,1000
residual_pca,frozen-pca,seed_average,fast_all,progressive_distance_estimate,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.133599797716,0.132547192557,2130639,2130.639,1000,2130.639,1000,0,1000,-0.12236077797,1000,0.122599120268,1000,0.133599797716,1000,0.155651319059,1000,0.246980450108,1000,0.332277721842,1000,100,1000,0.617683,1000,1.0043,1000,0.0276501690238,1000,16,1000,48,1000,0,1000,0,1000,64,1000
