query,candidate_count,candidate_ids_fnv1a64,exact_id_distance_fnv1a64,exact_best_id,exact_topk_used,exact_topk_ids,exact_topk_boundary_distance,exact_first_outside_distance,exact_boundary_gap,exact_reference_scope
10,2738,a4fb59468bd1715d,26f02966f63bbf06,409,100,"409|12254|32636|32997|48841|10356|58899|14992|10861|42516|15116|18599|23655|19588|20225|52783|57855|45417|82|7811|32526|42074|12472|32525|6754|15656|3207|40773|55775|34764|25427|986|46208|26157|51140|16805|59531|44737|13838|53596|36111|34361|43738|53088|48447|35857|45452|26758|1072|34702|54184|45229|32581|30683|54090|58971|242|55523|27476|36979|32412|10242|46220|27069|47219|19295|8186|55502|17338|22153|29541|36567|56098|2678|15800|56483|21247|11090|14873|4789|9502|9395|20659|2203|31455|7074|6884|19420|20073|210|37368|48270|8528|14078|5706|25406|29827|15864|38896|50843",0.38675459474147589,0.38677869427685141,2.4099535375521342e-05,canonical_raw_float64_squared_L2
11,1944,93cde16f5cb9d726,d4d88adb5fa99dcb,507,100,"507|47080|46395|15184|33562|45719|54699|7951|14930|18546|44831|44018|35161|16597|51659|39139|45647|57527|26755|28204|16664|38924|48330|3722|465|50207|53344|30334|26326|18141|18338|42791|41429|19955|9188|58938|40155|9487|1883|16622|43589|57290|17591|21030|32793|7238|8017|23530|49539|44038|47659|7397|54110|912|4507|14157|17496|26383|9722|25704|18234|49149|54163|12014|50015|51332|41692|32916|45141|22202|54142|38738|59327|26950|26528|41671|49248|11464|39660|30920|11503|12752|50255|22492|51616|32013|37642|42130|59803|8065|20909|42529|57389|31314|59031|45868|1924|47294|24620|49117",0.79933828239175819,0.79986909717880939,0.00053081478705119256,canonical_raw_float64_squared_L2
12,1911,4515d690a7f2a5d0,e08301aeef158389,614,100,"614|8118|40809|24383|9312|56851|28653|47886|47|43216|42929|2128|35147|16048|17348|31514|20572|47431|39075|3938|11159|16634|31855|29126|11897|18782|13324|26660|45595|10095|37707|33197|44288|3891|21453|9259|59032|57034|15115|36019|37767|8658|8713|27417|16501|28049|13177|11073|20981|18192|6848|6627|8893|3469|17539|5955|47677|19547|9362|3479|37068|23489|17140|43519|5079|592|46641|41615|16511|34276|41149|25930|52370|53992|52043|27854|18831|56053|32626|47404|51109|43967|36497|17736|37959|27706|7970|22540|4224|10625|56868|47483|4683|50944|57968|40728|12252|4778|12944|26926",0.46009397497230115,0.46045107409387148,0.00035709912157033674,canonical_raw_float64_squared_L2
13,1993,8bcd22913d42b876,79ab380608a91741,618,100,"618|40823|17124|8071|47928|2803|10570|44972|56859|48909|32006|13120|36296|20258|27008|42858|2141|58079|35502|3117|34148|59531|58748|3797|59976|42436|58897|40763|39923|25005|58420|35834|41102|50901|53821|45417|11903|26535|50533|39190|45581|16562|13414|39954|7651|35394|50039|50820|36979|1465|47720|16856|45282|37366|45496|51767|14844|43877|3162|30960|13441|41184|7869|5706|49265|4349|17234|56929|40298|37562|51055|38834|10722|42486|50563|21681|57788|38391|7003|36607|7580|41313|29810|40094|13862|2409|409|2678|49929|58956|9855|58899|27974|19377|47441|49840|15807|7107|34281|39633",0.6132796837293979,0.61351960772840719,0.00023992399900929495,canonical_raw_float64_squared_L2
14,2157,6e305081c69c7d34,979756ce11fd732b,655,100,"655|51135|40298|25985|25526|23323|51634|33260|50747|58414|21606|13805|28169|32781|53435|44259|45799|49929|27138|23787|17173|50574|55157|50901|21956|20597|39326|2674|44972|8071|38662|51143|6918|38917|9482|56131|44492|41369|1995|49001|22424|11851|22909|32992|1600|5421|21038|41877|40811|36821|42614|13403|50927|25761|10783|46065|42923|39810|39428|36913|45878|38707|31140|59397|55082|19884|46719|57471|55216|20412|29798|42297|46325|27981|19312|4668|46082|28732|33552|11445|17124|25500|58475|28542|15986|41603|51303|15445|2145|29399|22819|30938|20687|39224|29378|52338|47432|25977|45208|1220",0.50798619954644098,0.50819126932586922,0.00020506977942824633,canonical_raw_float64_squared_L2
15,2768,4c4ebf26fd6235b6,1700e15f00b8d68e,784,100,"784|32342|36588|10221|18916|48008|23843|57917|23549|16805|31161|51700|46253|50799|36514|1937|24485|27613|52362|36788|48776|14589|17306|12956|33848|59825|40794|59234|12003|55076|51123|18075|50130|8330|42516|45624|37560|17632|12512|41820|48599|34702|30626|34764|35620|50464|41182|58899|37518|30307|58670|39595|52034|15487|58540|24136|10091|7165|52783|6339|33880|42938|28837|18065|42813|28766|48589|59795|30683|48732|51730|7742|37368|43550|28169|6548|27107|6772|40388|22124|53596|6877|14873|42020|16393|19462|40568|47425|12636|20225|57659|40469|20655|22460|29660|7021|30567|19853|27193|34384",0.37897585547703261,0.37899609475117735,2.0239274144739916e-05,canonical_raw_float64_squared_L2
16,3236,3c913ec89197292d,af3f256f2fa4e3e1,924,100,"924|26502|23915|22428|49655|47071|39|58150|55022|31492|15925|1132|34612|51667|16003|4130|20135|27474|52275|55561|54535|48525|28374|9515|37097|51669|31487|32825|21247|10273|35950|31175|14906|24835|5531|21673|31142|44274|48658|29214|11110|52556|29550|960|13708|24282|1436|32739|34976|36687|2253|57773|10861|12679|23413|15474|5081|52149|47396|14505|42156|13049|22389|57299|22709|49747|9084|50380|33608|49049|9980|42893|58167|32024|22068|30143|4521|16674|27003|15338|48065|21747|43201|17546|33799|58180|15744|49923|51911|14352|3207|10938|23451|25003|12124|37717|23985|26771|2424|4789",0.40550624517858885,0.40585035571630251,0.00034411053771365996,canonical_raw_float64_squared_L2
17,1993,b719deddf2c85d2f,2125676faf28057e,988,100,"988|6744|25229|47739|2167|13443|16386|21128|15766|18245|47720|6994|16896|33701|41798|13471|17440|48262|14337|53719|32664|25867|49070|15211|13184|59375|23774|48785|32553|29723|26701|17286|41621|35394|17541|41326|40763|57433|27838|18314|3262|45622|43425|478|57161|44780|58045|6444|37105|17332|20053|59976|13948|28350|11738|59779|29705|50820|11032|18748|4234|4349|1465|6492|49906|50278|2095|24575|17529|8198|2625|17557|16105|5442|11894|12593|44965|53030|32607|31380|18852|2516|51577|56293|43304|32516|39633|44516|52168|57711|36828|11560|17368|44225|54276|20493|17414|28060|22364|6149",0.76346574340077522,0.76409249496238285,0.00062675156160763024,canonical_raw_float64_squared_L2
18,1887,73353f8895f636fc,543ef6321ba4bec2,1036,100,"1036|12792|6823|51825|28872|32540|13027|6738|10111|34757|38917|1145|18459|13837|22518|31516|44584|27289|56862|56096|9635|33488|55648|37594|23189|59631|26617|45719|43261|32656|36465|38996|10055|50965|57206|6905|3688|6016|45529|44535|52596|11959|36290|33879|13552|33233|35069|34488|40532|30669|42788|54075|12619|54265|16500|11349|9296|29417|41270|41833|18460|10304|23222|18294|50216|43843|52120|5656|33277|24955|45852|2998|11548|13089|52123|2509|12818|25547|42059|46784|23074|15387|13524|3608|18432|4471|12642|32922|31240|9164|56078|6917|7866|53989|33792|30847|30134|36551|37091|17657",0.7134967437996198,0.71365735054488211,0.0001606067452623039,canonical_raw_float64_squared_L2
19,2854,e1437f0e3dd0735d,372a1d14c65c68a9,1106,100,"1106|55395|33521|38477|41988|37550|52456|39592|34636|41059|23454|42207|4713|28396|10268|36498|40458|48335|37583|20041|31617|48081|6974|36484|4723|6717|15914|57803|44672|30640|5546|11665|29782|11676|27615|793|30210|37587|45659|40695|47000|42236|49177|18505|4851|35726|21755|12490|45325|31379|41298|38901|58228|48227|24435|56424|57139|23728|18741|4222|39621|11158|18515|18609|4861|21263|51311|48491|16430|4298|47537|1323|54649|48597|45648|14158|38374|23799|57655|26608|38599|1770|51044|10065|58379|39981|26316|43007|17327|24761|8849|10042|49465|57995|44811|32234|574|31019|57742|8168",0.2570268799859502,0.25850669258983017,0.0014798126038799708,canonical_raw_float64_squared_L2
