transform,baseline,plan_control,rotation_seed,stage,transform_stage,pca_stage,stage_match_type,metric,better_direction,query_count,transform_mean,pca_mean,transform_minus_pca,descriptive_direction,matched_budget
residual_pca,current_pca,frozen-pca,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,1000,0.622349249243,0.622792145009,-0.000442895766115,favors_transform,true
residual_pca,current_pca,frozen-pca,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,1000,0.622349257175,0.622792153861,-0.000442896686111,favors_transform,true
residual_pca,current_pca,frozen-pca,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,1000,0.622349246867,0.622792143694,-0.000442896826658,favors_transform,true
residual_pca,current_pca,frozen-pca,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,1000,0.622349252311,0.622792148544,-0.000442896233654,favors_transform,true
residual_pca,current_pca,frozen-pca,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294427864,0.615629145514,-0.0003347176493,favors_transform,true
residual_pca,current_pca,frozen-pca,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294429991,0.61562914855,-0.0003347185588,favors_transform,true
residual_pca,current_pca,frozen-pca,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294431006,0.615629148283,-0.0003347172769,favors_transform,true
residual_pca,current_pca,frozen-pca,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294429937,0.615629147438,-0.0003347175012,favors_transform,true
residual_pca,current_pca,frozen-pca,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294426259,0.615629145202,-0.0003347189432,favors_transform,true
residual_pca,current_pca,frozen-pca,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294426472,0.615629145975,-0.000334719503,favors_transform,true
