dataset	fold	CORR_S_eval_SSE_per_vector	gain_vs_ADJ_S_percent	gain_vs_EA_S_percent
SIFT1M	A_TO_B	463.26229388497615	-0.7932036747655191	-0.7741866925356167
SIFT1M	B_TO_A	471.0698632703696	0.48461511105974964	-0.04095442043479114
GIST1M_HEAD128	A_TO_B	0.012470381828535711	0.4543589520999425	0.17465978506013835
GIST1M_HEAD128	B_TO_A	0.012320510122321503	0.10714804228268981	-0.5701496805231576
