dataset	dimensions	fold	segment	rotation	pair	bits_per_coordinate	fit_nearest_sse
sift	128	A_TO_B	0	IDENTITY	8	8	478.1065931458812
sift	128	A_TO_B	0	IDENTITY	8	9	121.70024777447324
sift	128	A_TO_B	0	IDENTITY	8	10	30.345904115241126
sift	128	A_TO_B	0	IDENTITY	8	11	7.587284787345922
sift	128	A_TO_B	0	IDENTITY	9	1	8638716.069426648
sift	128	A_TO_B	0	IDENTITY	9	2	1963225.7302798536
sift	128	A_TO_B	0	IDENTITY	9	3	493496.20292030094
sift	128	A_TO_B	0	IDENTITY	9	4	123018.7176276134
sift	128	A_TO_B	0	IDENTITY	9	5	31396.421791805107
sift	128	A_TO_B	0	IDENTITY	9	6	7808.602202714534
sift	128	A_TO_B	0	IDENTITY	9	7	1939.9120575560555
sift	128	A_TO_B	0	IDENTITY	9	8	485.76667450965977
sift	128	A_TO_B	0	IDENTITY	9	9	120.08640681304792
sift	128	A_TO_B	0	IDENTITY	9	10	30.06473151205803
sift	128	A_TO_B	0	IDENTITY	9	11	7.648302693072743
sift	128	A_TO_B	0	IDENTITY	10	1	8505729.477184324
sift	128	A_TO_B	0	IDENTITY	10	2	1984927.0014781705
sift	128	A_TO_B	0	IDENTITY	10	3	494796.02502453886
sift	128	A_TO_B	0	IDENTITY	10	4	124517.79831016535
sift	128	A_TO_B	0	IDENTITY	10	5	30649.826223121716
sift	128	A_TO_B	0	IDENTITY	10	6	7726.851401087257
sift	128	A_TO_B	0	IDENTITY	10	7	1927.644276645286
sift	128	A_TO_B	0	IDENTITY	10	8	483.52421950094094
sift	128	A_TO_B	0	IDENTITY	10	9	123.2071434723274
sift	128	A_TO_B	0	IDENTITY	10	10	30.552209102677715
sift	128	A_TO_B	0	IDENTITY	10	11	7.487882302689421
sift	128	A_TO_B	0	IDENTITY	11	1	8686775.388334557
sift	128	A_TO_B	0	IDENTITY	11	2	1968750.1608349711
sift	128	A_TO_B	0	IDENTITY	11	3	485488.6783850351
sift	128	A_TO_B	0	IDENTITY	11	4	121462.55799173769
sift	128	A_TO_B	0	IDENTITY	11	5	30649.858868739808
sift	128	A_TO_B	0	IDENTITY	11	6	7584.789394902071
sift	128	A_TO_B	0	IDENTITY	11	7	1891.8767618082834
sift	128	A_TO_B	0	IDENTITY	11	8	479.6487487801494
sift	128	A_TO_B	0	IDENTITY	11	9	120.08978406898703
sift	128	A_TO_B	0	IDENTITY	11	10	29.98467996952776
sift	128	A_TO_B	0	IDENTITY	11	11	7.4775922117533575
sift	128	A_TO_B	0	IDENTITY	12	1	8858139.67800905
sift	128	A_TO_B	0	IDENTITY	12	2	1958924.5115443585
sift	128	A_TO_B	0	IDENTITY	12	3	487488.7030848303
sift	128	A_TO_B	0	IDENTITY	12	4	121336.41244922174
sift	128	A_TO_B	0	IDENTITY	12	5	30599.676429049563
sift	128	A_TO_B	0	IDENTITY	12	6	7574.846940969375
sift	128	A_TO_B	0	IDENTITY	12	7	1904.991052419919
sift	128	A_TO_B	0	IDENTITY	12	8	476.4433242601143
sift	128	A_TO_B	0	IDENTITY	12	9	120.93494261575307
sift	128	A_TO_B	0	IDENTITY	12	10	30.070867632983422
sift	128	A_TO_B	0	IDENTITY	12	11	7.306789187341899
sift	128	A_TO_B	0	IDENTITY	13	1	8841093.313147426
sift	128	A_TO_B	0	IDENTITY	13	2	1963590.1849490702
sift	128	A_TO_B	0	IDENTITY	13	3	488872.95011969423
sift	128	A_TO_B	0	IDENTITY	13	4	122441.6536732399
sift	128	A_TO_B	0	IDENTITY	13	5	30244.297996901543
