dataset	stage	fold	plan	arm	fit_total_sse	eval_total_sse	fit_sse_per_vector	eval_sse_per_vector	eval_gain_vs_U_pct	payload_bits_per_vector	payload_bytes_per_vector	groups_outside_6_10	axes_bits_1	axes_bits_2	axes_bits_3	axes_bits_4	axes_bits_5	axes_bits_6	axes_bits_7	axes_bits_8	axes_bits_9	shared_transform_bytes	shared_pairing_bytes	shared_bit_metadata_bytes	shared_selected_codebook_bytes	selected_lookup_entries	shared_model_total_bytes	archive_file	archive_sha256	archive_bytes	pairing_shared_compute_cpu_seconds	pairing_shared_compute_wall_seconds
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	ADJ	E	3697350.9602308404	3881019.919636262	451.33678713755376	473.7573144087234	22.656310543315207	512	64	0	0	0	38	52	38	0	0	0	0	3072	128	128	18816	2352	22144	models/SIFT1M_B_TO_A_ADJ.npz	62927f1404b4fe56dcaf1d9a3bde4a8c5bb9ef807100765293f5e101d656b66c	1341242	9.638976359	9.659263093955815
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	ADJ	S	3694864.2256570905	3877796.7087375876	451.03323067103156	473.3638560470688	22.72054495281648	512	64	1	0	1	36	53	38	0	0	0	0	3072	128	128	18848	2356	22176	models/SIFT1M_B_TO_A_ADJ.npz	62927f1404b4fe56dcaf1d9a3bde4a8c5bb9ef807100765293f5e101d656b66c	1341242	9.638976359	9.659263093955815
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	CORR_GREEDY	U	4703511.017934462	4906998.174981032	574.1590598064529	598.9988006568642	0.0	512	64	0	0	0	11	106	11	0	0	0	0	3072	128	128	17088	2136	20416	models/SIFT1M_B_TO_A_CORR_GREEDY.npz	cf0d8af8d6fa9bd9818b762023a9b44e9bff803f22bf4cafe6ab69f17f80bff9	1341242	9.555471020999995	9.575257122516632
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	CORR_GREEDY	V	3690736.6492381548	3860850.7732263077	450.52937612770444	471.295260403602	21.319498488681788	512	64	0	0	1	34	57	36	0	0	0	0	3072	128	128	18720	2340	22048	models/SIFT1M_B_TO_A_CORR_GREEDY.npz	cf0d8af8d6fa9bd9818b762023a9b44e9bff803f22bf4cafe6ab69f17f80bff9	1341242	9.555471020999995	9.575257122516632
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	CORR_GREEDY	E	3684592.1103187916	3859004.3199108676	449.77931034164936	471.0698632703696	21.357127467735715	512	64	0	0	1	37	51	39	0	0	0	0	3072	128	128	18912	2364	22240	models/SIFT1M_B_TO_A_CORR_GREEDY.npz	cf0d8af8d6fa9bd9818b762023a9b44e9bff803f22bf4cafe6ab69f17f80bff9	1341242	9.555471020999995	9.575257122516632
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	CORR_GREEDY	S	3684592.1103187916	3859004.3199108676	449.77931034164936	471.0698632703696	21.357127467735715	512	64	0	0	1	37	51	39	0	0	0	0	3072	128	128	18912	2364	22240	models/SIFT1M_B_TO_A_CORR_GREEDY.npz	cf0d8af8d6fa9bd9818b762023a9b44e9bff803f22bf4cafe6ab69f17f80bff9	1341242	9.555471020999995	9.575257122516632
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	EA	U	3676671.759434579	3859554.2700486556	448.8124706341039	471.1369958555488	0.0	512	64	0	0	0	38	52	38	0	0	0	0	3072	128	128	18816	2352	22144	models/SIFT1M_B_TO_A_EA.npz	77606a5f3d14c75ecf6a7d3185c940b4a73489a051bd9c76edb0e609dc98907a	1341242	9.514345157000001	9.534757753834128
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	EA	V	3676881.820371697	3853453.409073447	448.83811283834194	470.392261849786	0.15807164631815862	512	64	0	0	1	35	55	37	0	0	0	0	3072	128	128	18784	2348	22112	models/SIFT1M_B_TO_A_EA.npz	77606a5f3d14c75ecf6a7d3185c940b4a73489a051bd9c76edb0e609dc98907a	1341242	9.514345157000001	9.534757753834128
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	EA	E	3674882.980863689	3857424.534049238	448.59411387496203	470.8770183165574	0.055180879718286224	512	64	0	0	1	36	53	38	0	0	0	0	3072	128	128	18848	2356	22176	models/SIFT1M_B_TO_A_EA.npz	77606a5f3d14c75ecf6a7d3185c940b4a73489a051bd9c76edb0e609dc98907a	1341242	9.514345157000001	9.534757753834128
SIFT1M	RESIDUAL_NLIST1024	B_TO_A	EA	S	3674882.980863689	3857424.534049238	448.59411387496203	470.8770183165574	0.055180879718286224	512	64	0	0	1	36	53	38	0	0	0	0	3072	128	128	18848	2356	22176	models/SIFT1M_B_TO_A_EA.npz	77606a5f3d14c75ecf6a7d3185c940b4a73489a051bd9c76edb0e609dc98907a	1341242	9.514345157000001	9.534757753834128
