dataset	stage	fold	plan	arm	group	dim1	dim2	local_axis	bits	group_bits	fit_sse	eval_sse
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	21	42	43	0	4	8	43267.178972305395	44805.09877348746
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	21	42	43	1	4	8	46006.11856413804	43892.06046712371
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	22	44	45	0	4	8	41411.55744334254	39971.650923413654
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	22	44	45	1	4	8	39292.8052440492	40281.53124554371
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	23	46	47	0	4	8	42233.03530650853	38016.0231543361
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	23	46	47	1	4	8	38840.78886380353	35573.06328454585
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	24	48	49	0	4	8	35375.02059613599	40304.30756908821
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	24	48	49	1	4	8	36576.5640294331	39582.396212614585
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	25	50	51	0	4	8	34273.653471597994	34449.06708192236
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	25	50	51	1	4	8	33150.99114930078	37167.3349205109
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	26	52	53	0	4	8	37460.581707303776	35881.55544943515
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	26	52	53	1	4	8	32845.98263750384	33935.33586771012
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	27	54	55	0	4	8	31428.02792889899	31078.74502792177
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	27	54	55	1	4	8	29333.620061260382	29244.17115084738
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	28	56	57	0	4	8	34003.01516031518	28421.73878890597
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	28	56	57	1	4	8	29346.80252520873	28575.60025903554
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	29	58	59	0	4	8	29205.496863547327	28261.338404677597
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	29	58	59	1	4	8	26782.368790300505	25593.096993450185
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	30	60	61	0	4	8	28666.390706199127	29157.005566238884
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	30	60	61	1	4	8	25600.24440696506	27389.39391714226
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	31	62	63	0	4	8	26963.73051757899	28001.861391715214
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	31	62	63	1	4	8	23780.10752652034	28998.11199747999
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	32	64	65	0	4	8	25457.950416931028	25231.596291711972
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	32	64	65	1	4	8	24916.40616220249	28617.54337834716
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	33	66	67	0	4	8	26784.61050417246	22539.63779565546
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	33	66	67	1	4	8	20479.904825119513	22754.582224852424
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	34	68	69	0	4	8	21016.44682797721	25519.73933247688
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	34	68	69	1	4	8	19804.48969796751	19378.755251009497
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	35	70	71	0	4	8	21451.341350817296	22301.703580818445
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	35	70	71	1	4	8	21251.46950796286	20370.249050726485
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	36	72	73	0	4	8	19123.827370179628	18829.43573735712
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	36	72	73	1	4	8	21277.16167893143	20495.2676976346
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	37	74	75	0	4	8	19456.49318121674	21020.735713168946
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	37	74	75	1	4	8	18825.27273790699	19441.022180508906
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	38	76	77	0	4	8	18476.074800199873	18143.331740756883
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	38	76	77	1	4	8	19188.03136489996	19043.086166784804
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	39	78	79	0	4	8	21399.397816382836	17707.91466486726
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	39	78	79	1	4	8	15925.731979043492	16554.580435387277
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	40	80	81	0	4	8	17019.804114827093	16905.464976007155
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	40	80	81	1	4	8	15519.287598293196	20285.311621707733
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	41	82	83	0	4	8	16384.164051875734	16372.290209544753
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	41	82	83	1	4	8	15653.102046142816	16069.25905139481
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	42	84	85	0	4	8	15698.485904675757	16145.613820997347
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	42	84	85	1	4	8	15285.789659021048	17959.40962632383
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	43	86	87	0	4	8	16675.580020111913	15473.68847450926
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	43	86	87	1	4	8	16340.433113815756	15374.309733155624
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	44	88	89	0	4	8	15378.655952326011	14432.730947161777
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	44	88	89	1	4	8	15138.574644894554	15076.400168712793
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	45	90	91	0	4	8	13381.297830323834	13212.1891615858
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	45	90	91	1	4	8	12459.983679239787	13064.6385654288
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	46	92	93	0	4	8	13196.764225470495	12876.591789872982
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	46	92	93	1	4	8	12742.11092297099	13776.815074285762
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	47	94	95	0	4	8	12985.774069876461	12929.608532040966
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	47	94	95	1	4	8	13113.257566301694	12233.567234572009
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	48	96	97	0	4	8	12927.146536736956	11896.907969461488
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	48	96	97	1	4	8	12259.098519961419	12314.350343361744
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	49	98	99	0	4	8	12504.505382534899	12594.371274159872
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	49	98	99	1	4	8	12870.529948149207	11360.042238296011
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	50	100	101	0	4	8	10921.550627528643	10464.504786224705
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	50	100	101	1	4	8	9997.604652536502	10570.764036123297
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	51	102	103	0	4	8	11598.328500107467	10199.421555208795
